排名,企业名称,综合得分,行业分类,参保人数,注册资本,联系方式,注册地址,企查查链接,评分理由,登记状态,主营业务
1,上海兆康通信设备工程有限公司,85,IT/互联网,110,13000万元,13391092050,上海市普陀区柳园路588号6幢23室,https://www.qcc.com/firm/92f783a69b13f017d4c86d690c53df00.html,极近 | 大型(110人/13000万) | 行业:IT/互联网 | 手机 | 正常,存续,软件和信息技术服务业
2,上海六柿网络科技有限公司,75,IT/互联网,1,500万元,15821867384,上海市宝山区真陈路1000号1幢,https://www.qcc.com/firm/07ad66324f868bce0286d3716bd52fee.html,极近 | 中型 | 行业:IT/互联网 | 手机 | 正常,存续,专业技术服务业
3,上海立晏贸易有限公司,65,批发零售,0,200万元,13651855397,上海市宝山区真陈路718号,https://www.qcc.com/firm/cad5d10e4e1f428ca5252bfd79f4f18e.html,极近 | 规模微型 | 行业:其他 | 手机 | 正常,存续,批发业
4,上海鲸乐酒业有限公司,55,批发零售,5,100万元,18721573960,上海市普陀区红柳路255号,https://www.qcc.com/firm/6033f9db677fe449dc9c8ba8e6cfc096.html,远 | 小型 | 行业:其他 | 手机 | 固话 | 正常,存续,批发业
5,上海往里贸易有限公司,55,批发零售,0,50万元,17634477041,上海市宝山区真陈路1000号1幢6楼,https://www.qcc.com/firm/1790fde666cad661c1070389b61c295a.html,极近 | 规模微型 | 行业:其他 | 手机 | 正常,存续,零售业
